CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
49043964102,UT,Summit,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,913,70.0,0.0248845,0,2813,R,2813.000009,1.000000003,572.1130772,0.203381826,824.0000005,1.000000001,271.0000009,1.000000003,11.05187336,0.012105009,2813.000009,1.000000003,572.1130772,0.203381826,824.0000005,1.000000001,271.0000009,1.000000003,11.05187336,0.012105009,1970.705394,0.700570705,435.5630017,0.154839318,618.1656407,0.75020102,187.6307346,0.692364334,11.05187336,0.012105009,98.79767702,0.035121819,1.376438273,0.000489313,36.91062733,0.044794451,10.95953554,0.040441091,0.0,0.0
49043964201,UT,Summit,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1214,0.0,0.0,0,3605,C,2720.879499,0.754751595,908.9494049,0.252135757,865.1947859,0.735709852,218.8332354,0.705913663,11.45076597,0.009432262,2173.819243,0.603001177,706.1413623,0.195878325,661.698548,0.562668833,193.3170975,0.62360354,8.540594974,0.007035086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964202,UT,Summit,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1033,1.0,0.0003273,0,3055,R,2918.349091,0.955269751,816.0703142,0.267126126,931.9173509,0.957777339,266.0536003,0.940118729,11.65961216,0.011287137,2681.276272,0.877668174,741.7178178,0.242788156,861.7935275,0.885707634,243.7513288,0.861312116,11.65961216,0.011287137,5.94343016,0.001945476,1.529586602,0.000500683,1.335819496,0.001372887,0.601268444,0.002124623,0.058097008,5.62e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964203,UT,Summit,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,45,0.0,0.0,0,103,R,103.0000001,1.000000001,25.00000042,0.242718451,23.00000021,1.000000009,14.99999997,0.999999998,0.0,0.0,103.0000001,1.000000001,25.00000042,0.242718451,23.00000021,1.000000009,14.99999997,0.999999998,0.0,0.0,83.03919205,0.806205748,25.00000042,0.242718451,20.06218094,0.872268736,12.06218066,0.804145378,0.0,0.0,37.31366602,0.362268602,25.00000042,0.242718451,10.0000001,0.434782613,3.117260205,0.207817347,0.0,0.0
49043964303,UT,Summit,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,946,0.0,0.0,0,2915,C,2911.126535,0.998671195,189.8148939,0.065116602,912.6588399,0.998532648,136.7726927,0.998340823,13.91588239,0.014710235,1907.624565,0.65441666,129.8063533,0.044530481,584.6733194,0.639686345,89.95692165,0.656619866,12.24328987,0.012942167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964304,UT,Summit,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1801,0.0,0.0,0,4838,C,3620.502553,0.748346952,135.2713193,0.027960173,964.120559,0.76700124,199.8069219,0.693774034,50.50786374,0.028044344,2419.626885,0.500129575,86.85090703,0.01795182,603.4459843,0.480068404,142.1174412,0.493463338,35.73592392,0.019842268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964305,UT,Summit,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,632,0.0,0.0,0,1526,R,1354.598895,0.887679485,457.9020769,0.300066892,300.6974268,0.874120427,96.7597287,0.948624791,10.68962096,0.016913957,974.7916093,0.638788735,381.1165472,0.24974872,207.5306255,0.603286702,78.06473389,0.765340528,5.409828434,0.008559855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964306,UT,Summit,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1021,0.0,0.0,0,2593,R,2455.545345,0.946990106,339.4919649,0.130926327,600.4372132,0.942601591,167.0492125,0.965602384,25.92077722,0.025387637,1532.92151,0.591176826,261.9038551,0.101004186,399.245145,0.626758469,109.3376239,0.632009387,5.667226424,0.005550663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964307,UT,Summit,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1674,0.0,0.0,0,4916,R,4690.066805,0.954041254,446.7260147,0.09087185,1547.638492,0.986385272,229.0575046,0.864367942,0.0,0.0,3810.149988,0.775050852,289.7101707,0.058932093,1266.76023,0.807367897,182.6783338,0.689352203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49043964308,UT,Summit,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1172,0.0,0.0,0,2960,C,2683.476553,0.906579917,495.0851447,0.167258495,618.2403608,0.902540673,339.5771287,0.915302234,59.82862247,0.051048313,1343.448119,0.453867608,194.0490041,0.065557096,316.501574,0.462046093,174.3802679,0.470027676,23.05290968,0.019669718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
